iter	Passed	Remaining
0	6	6216
1	17	8513
2	24	7989
3	31	7877
4	38	7658
5	46	7773
6	54	7661
7	62	7743
8	69	7654
9	76	7591
10	84	7565
11	91	7554
12	98	7465
13	105	7453
14	112	7393
15	121	7494
16	128	7416
17	137	7475
18	144	7478
19	153	7514
20	160	7504
21	168	7493
22	175	7474
23	184	7520
24	192	7511
25	199	7460
26	208	7526
27	216	7530
28	228	7649
29	235	7624
30	244	7629
31	253	7668
32	260	7636
33	267	7613
34	274	7573
35	281	7541
36	288	7515
37	295	7493
38	303	7480
39	310	7449
40	317	7431
41	324	7393
42	332	7406
43	339	7376
44	349	7415
45	362	7527
46	373	7582
47	383	7604
48	392	7625
49	401	7634
50	409	7620
51	417	7616
52	425	7597
53	434	7608
54	441	7581
55	448	7563
56	457	7564
57	464	7548
58	471	7521
59	478	7503
60	486	7484
61	493	7462
62	500	7448
63	507	7420
64	515	7414
65	526	7451
66	533	7433
67	544	7458
68	560	7563
69	568	7547
70	577	7560
71	585	7548
72	594	7544
73	604	7564
74	611	7546
75	621	7560
76	629	7543
77	639	7557
78	649	7567
79	660	7598
80	671	7616
81	678	7596
82	687	7592
83	698	7618
84	708	7625
85	717	7628
86	731	7675
87	782	8110
88	792	8110
89	798	8076
90	807	8067
91	813	8029
92	822	8018
93	828	7983
94	837	7976
95	844	7956
96	853	7947
97	859	7911
98	868	7905
99	874	7869
100	886	7888
101	892	7860
102	905	7882
103	912	7865
104	923	7871
105	932	7866
106	940	7845
107	948	7835
108	955	7807
109	963	7797
110	969	7763
111	977	7752
112	983	7723
113	992	7710
114	997	7679
115	1003	7647
116	1010	7623
117	1016	7595
118	1025	7591
119	1032	7572
120	1040	7556
121	1047	7541
122	1059	7551
123	1067	7543
124	1074	7518
125	1082	7511
126	1094	7521
127	1101	7505
128	1114	7522
129	1121	7508
130	1129	7491
131	1135	7468
132	1143	7452
133	1150	7433
134	1158	7420
135	1164	7395
136	1170	7374
137	1179	7369
138	1186	7350
139	1195	7341
140	1202	7325
141	1207	7298
142	1218	7301
143	1227	7296
144	1234	7281
145	1243	7276
146	1256	7289
147	1264	7279
148	1276	7290
149	1285	7283
150	1292	7264
151	1300	7257
152	1307	7238
153	1313	7214
154	1320	7201
155	1326	7178
156	1333	7159
157	1339	7135
158	1347	7127
159	1353	7106
160	1362	7100
161	1368	7078
162	1377	7071
163	1383	7052
164	1394	7056
165	1400	7037
166	1409	7031
167	1417	7018
168	1425	7011
169	1433	6998
170	1441	6989
171	1451	6989
172	1459	6978
173	1468	6969
174	1474	6953
175	1483	6945
176	1489	6927
177	1499	6923
178	1506	6907
179	1514	6901
180	1520	6881
181	1529	6873
182	1535	6854
183	1543	6846
184	1550	6829
185	1557	6817
186	1567	6812
187	1575	6805
188	1581	6786
189	1593	6794
190	1633	6917
191	1649	6941
192	1727	7224
193	1739	7227
194	1750	7227
195	1768	7253
196	1776	7241
197	1804	7308
198	1817	7317
199	1828	7315
200	1835	7295
201	1845	7291
202	1851	7269
203	1860	7259
204	1866	7238
205	1875	7230
206	1881	7208
207	1890	7199
208	1896	7178
209	1905	7168
210	1913	7154
211	1922	7144
212	1928	7123
213	1936	7111
214	1949	7117
215	1955	7098
216	1961	7078
217	1967	7058
218	1978	7055
219	1986	7041
220	1996	7037
221	2007	7035
222	2014	7019
223	2022	7006
224	2029	6989
225	2036	6973
226	2044	6961
227	2050	6941
228	2056	6923
229	2062	6904
230	2070	6892
231	2076	6874
232	2085	6864
233	2092	6849
234	2100	6839
235	2106	6820
236	2115	6811
237	2121	6792
238	2132	6789
239	2139	6773
240	2148	6767
241	2155	6751
242	2165	6747
243	2178	6750
244	2189	6746
245	2201	6748
246	2228	6793
247	2234	6775
248	2241	6761
249	2249	6747
250	2256	6732
251	2264	6721
252	2271	6705
253	2277	6689
254	2283	6672
255	2295	6670
256	2304	6661
257	2312	6650
258	2320	6638
259	2327	6625
260	2336	6614
261	2343	6602
262	2352	6591
263	2357	6573
264	2365	6560
265	2371	6543
266	2377	6527
267	2384	6512
268	2390	6494
269	2397	6483
270	2403	6465
271	2410	6452
272	2416	6435
273	2422	6419
274	2429	6405
275	2435	6388
276	2443	6377
277	2452	6370
278	2459	6356
279	2465	6340
280	2473	6329
281	2479	6313
282	2489	6308
283	2497	6297
284	2525	6335
285	2539	6339
286	2549	6333
287	2555	6317
288	2561	6301
289	2569	6290
290	2575	6274
291	2583	6262
292	2589	6247
293	2596	6234
294	2602	6219
295	2608	6203
296	2614	6189
297	2621	6175
298	2629	6165
299	2637	6154
300	2647	6149
301	2654	6134
302	2661	6122
303	2673	6120
304	2683	6113
305	2692	6106
306	2700	6096
307	2708	6086
308	2716	6074
309	2722	6060
310	2732	6053
311	2740	6042
312	2747	6029
313	2753	6015
314	2759	6000
315	2767	5989
316	2773	5976
317	2790	5985
318	2798	5973
319	2804	5958
320	2815	5954
321	2821	5941
322	2829	5931
323	2836	5918
324	2844	5908
325	2855	5903
326	2863	5893
327	2873	5887
328	2880	5875
329	2890	5867
330	2896	5853
331	2904	5843
332	2910	5829
333	2918	5819
334	2924	5806
335	2931	5792
336	2939	5782
337	2946	5770
338	2952	5757
339	2958	5743
340	2965	5731
341	2971	5716
342	2978	5704
343	2984	5690
344	2995	5686
345	3001	5673
346	3008	5662
347	3015	5649
